inexpertise,expertise,accuracy,goal_entropy,confidence_in_the_truth,uptake_ungated,uptake_ungated_sd,uptake_as_reported,engaged_fraction,confidently_wrong_fraction,uptake_of_the_confidently_wrong,uptake_of_the_correct,n
0.0,1.0,1.0,9.018861659696558e-06,0.9999989645412722,3.2476324547349082,0.42766148917032026,0.0,0.0,0.0,,3.2476324547349082,480
0.05,0.95,1.0,1.5103136099463116e-05,0.9999981834563536,3.247618407617558,0.42764655843122534,0.0,0.0,0.0,,3.247618407617558,480
0.1,0.9,1.0,2.169387427279446e-05,0.9999973249388622,3.2476032091048292,0.427632138629934,0.0,0.0,0.0,,3.2476032091048292,480
0.15,0.85,1.0,3.073287643250003e-05,0.9999961982941356,3.2475823625472535,0.4276177452796129,0.0,0.0,0.0,,3.2475823625472535,480
0.2,0.8,1.0,4.956127720119293e-05,0.9999939692656737,3.2475387147515895,0.4276004401760074,0.0,0.0,0.0,,3.2475387147515895,480
0.25,0.75,1.0,0.00010358760301483122,0.999986968608187,3.2474123345214525,0.42756604771276874,0.0,0.0,0.0,,3.2474123345214525,480
0.3,0.7,1.0,0.00026716153259153595,0.9999610524772903,3.2470259051486803,0.42749388291394386,0.0,0.0,0.0,,3.2470259051486803,480
0.35,0.65,1.0,0.0007243925230185577,0.9998679795482874,3.2459341484546798,0.4275576658995655,0.0,0.0,0.0,,3.2459341484546798,480
0.4,0.6,1.0,0.0018415234583688948,0.9995689671378469,3.2432378832121005,0.4290237543039301,0.0,0.0,0.0,,3.2432378832121005,480
0.45,0.55,1.0,0.004222663624702854,0.9987701744080126,3.2374815903639775,0.43377014791636903,0.0,0.0,0.0,,3.2374815903639775,480
0.5,0.5,0.9979166666666667,0.009468679568363796,0.9969164531964724,3.2251000156724032,0.4403170786774205,0.0,0.0,0.0,,3.22844917545705,480
0.55,0.44999999999999996,0.9979166666666667,0.02176645483640732,0.9921197307569619,3.1966904454607477,0.45938125749044995,0.0,0.0,0.0020833333333333333,2.0303536293470112,3.1991253866217364,480
0.6,0.4,0.9895833333333334,0.0443226632884959,0.9806247309303155,3.1438390934264757,0.4879143546489018,0.009678023952112499,0.004166666666666667,0.0020833333333333333,2.458790410941378,3.1564198785415605,480
0.65,0.35,0.975,0.08584605118840534,0.9558436286595405,3.0441986508751415,0.5656672276385359,0.005705205698252347,0.0020833333333333333,0.010416666666666666,2.5868328997418066,3.068441557428756,480
0.7,0.30000000000000004,0.9145833333333333,0.13821778515997124,0.9040087945591558,2.9159924620097826,0.658100205298171,0.009272403109550584,0.004166666666666667,0.022916666666666665,2.6142751932036172,3.001369392521741,480
0.75,0.25,0.8520833333333333,0.1891451337559601,0.8345004604369621,2.79130706214176,0.6973038355347693,0.021093818140656886,0.008333333333333333,0.08125,2.601029107496387,2.9063262880007477,480
0.8,0.19999999999999996,0.7583333333333333,0.24685980113786404,0.7373584344295346,2.658416324140195,0.7417846390482645,0.04344368362161477,0.020833333333333332,0.14375,2.72952047403048,2.7850417192794747,480
0.85,0.15000000000000002,0.6270833333333333,0.2882971712183558,0.6087443149599807,2.5649357608337073,0.7424073374908299,0.036312221853151444,0.01875,0.23958333333333334,2.774244118941975,2.687273020135254,480
0.9,0.09999999999999998,0.48541666666666666,0.31742969842034824,0.473849709320128,2.5000586028706238,0.7713523711256302,0.03328447928072971,0.01875,0.33958333333333335,2.8756606140773444,2.5573608239469183,480
0.95,0.050000000000000044,0.33125,0.3033931761972422,0.3380125145088883,2.5286954092995066,0.77537293109338,0.07882613590836025,0.03958333333333333,0.46875,2.89507667889708,2.5733314637160207,480
1.0,0.0,0.23333333333333334,0.26570440157087283,0.23337102853213984,2.6209738958362845,0.7549108188561524,0.07135210609317864,0.03333333333333333,0.5791666666666667,2.9713332933727115,2.503667616982894,480
