arm,observer,goal_correct,final_entropy,engaged_fraction,error_reduction,posterior
no_tool_hypothesis,0,0,1.1769769557977519,0.0,-1.1284404619480566,"[0.09165157920470098, 0.10086957452537076, 0.3553751089531143, 0.4521037373168138]"
no_tool_hypothesis,1,0,1.2253284844002863,0.0,-0.5200454009832733,"[0.15673273185001968, 0.17940465588386528, 0.513915602847355, 0.1499470094187602]"
no_tool_hypothesis,2,0,1.3622481247578024,0.0,0.03245993556810878,"[0.3094093056356194, 0.25604243209935795, 0.16453208178133408, 0.2700161804836885]"
no_tool_hypothesis,3,0,1.3335999507378142,0.0,0.020710959179346178,"[0.31360709683983023, 0.19511864770145787, 0.34173201210119714, 0.14954224335751487]"
no_tool_hypothesis,4,0,1.3081207516863962,0.0,-0.4174502506720923,"[0.13044560475919703, 0.180303126008744, 0.32900942479876916, 0.3602418444332899]"
no_tool_hypothesis,5,0,1.3105393927613056,0.0,0.041561666953107146,"[0.22803776364219036, 0.3453059769439946, 0.10937448629452419, 0.31728177311929084]"
no_tool_hypothesis,6,0,0.7468691096758882,0.0,-1.2430556407000384,"[0.7822236543771341, 0.035107259417415076, 0.09031981312352214, 0.0923492730819287]"
no_tool_hypothesis,7,0,1.3415951347334343,0.0,0.03953045132890742,"[0.282330039561385, 0.35623932807366027, 0.1642507550534289, 0.19717987731152598]"
no_tool_hypothesis,8,0,1.2903084250542718,0.0,0.1269971175054856,"[0.4155126245098346, 0.13062307038079213, 0.17162552067724016, 0.2822387844321331]"
no_tool_hypothesis,9,0,1.2339389933478675,0.0,-0.29135866073647554,"[0.4935474702173073, 0.1135671613029485, 0.21043788065145774, 0.18244748782828651]"
no_tool_hypothesis,10,0,0.656018487890217,0.14285714285714285,-0.43074340114447107,"[0.781152299995682, 0.026026194020682174, 0.014214927462878496, 0.1786065785207573]"
no_tool_hypothesis,11,0,1.384622382528456,0.0,-0.32013439163760626,"[0.23606599985765697, 0.26296014483352154, 0.23510618378536433, 0.265867671523457]"
no_tool_hypothesis,12,0,1.329862180564911,0.0,-0.06487791294677869,"[0.1953672175461707, 0.16591846881615213, 0.24765243430351544, 0.3910618793341617]"
no_tool_hypothesis,13,1,1.3108868973911543,0.0,0.3751136197671828,"[0.25399648789677576, 0.40484349116477975, 0.13703673069453215, 0.20412329024391251]"
no_tool_hypothesis,14,0,1.3735622388285962,0.0,0.05388593379283235,"[0.203533845700912, 0.2562052177695724, 0.31182990939453514, 0.22843102713498034]"
no_tool_hypothesis,15,0,1.3817108852489617,0.0,-0.3279679131523847,"[0.25366783007643, 0.22083118169824228, 0.23902525089199025, 0.2864757373333375]"
no_tool_hypothesis,16,0,1.2094177505971606,0.0,-0.5157204466126126,"[0.5099173316567511, 0.2307471340387604, 0.1129726893326408, 0.1463628449718476]"
no_tool_hypothesis,17,0,1.3048452118612648,0.0,0.24885100677309202,"[0.19160045997960135, 0.364314697520578, 0.12080818223911699, 0.3232766602607037]"
