d,psi,psi_sd,kl_post_prior,goal_accuracy,final_entropy,kl_recovered,regret,regret_sd,argmax_preserved,sycophancy,sycophancy_sd
0.0,3.2323498066908924,0.10443159120400688,1.403791684626897,1.0,5.7970961489923184e-05,0.0020359542104290414,1.0928033197539564,0.49305799771666936,1.0,0.59235,0.1369831055718959
0.1,3.244215303969099,0.12874870883673395,1.40894480461986,1.0,0.00019990034316210443,0.002036935900300576,1.0933056218997244,0.4933116820102483,1.0,0.59235,0.1369831055718959
0.2,3.2420297847965327,0.12661034133920637,1.407995645703121,0.9999333333333333,0.0007177408317329418,0.0020421224122346643,1.0955047933276167,0.4943608201425562,1.0,0.59235,0.1369831055718959
0.3,3.2297389192302797,0.10503461995810744,1.4026577906098827,0.9998333333333334,0.002068648371521045,0.002051027785711483,1.0939993319953156,0.49462656253509996,1.0,0.59235,0.1369831055718959
0.4,3.2135004805809877,0.11899269588094478,1.3956055263097706,0.9994333333333333,0.006738847600389612,0.002071681583232278,1.094104994971267,0.49444711904382455,1.0,0.59235,0.1369831055718959
0.5,3.169647744129299,0.13494099267652238,1.3765605248524448,0.9971666666666666,0.023009961895255317,0.0022679840972477886,1.1535938328548256,0.5422228714434248,1.0,0.5938,0.13717039466195743
0.6,3.046526122162949,0.1992692346371664,1.3230894838294807,0.9851000000000001,0.08489289466118058,0.006678516140954073,1.6694693838721628,2.0395122221348063,0.97,0.62205,0.1481691208850157
0.7,2.80258493500201,0.2530141763431479,1.2171471723365563,0.9305,0.189892404006289,0.02894160212170985,2.7150135330757568,3.855857750814743,0.88,0.6010500000000001,0.1831587253910354
0.8,2.5222635009190837,0.31945057324210097,1.0954051203551354,0.7495333333333334,0.3077939032071831,0.08758299429971286,6.060967447026165,6.872386011701615,0.66,0.595,0.19711172035936955
0.9,2.3291302661957842,0.3571214556707422,1.0115284222426808,0.5300333333333334,0.3948547700330489,0.15105389982797515,9.625032168253725,8.550312109118588,0.46,0.5635,0.22641753242604465
