d,expertise,seed_rep,observer,psi,kl_posterior_prior,goal_accuracy,final_entropy,n_ghost_in_corpus,kl,regret,regret_norm,argmax_preserved,sycophancy,entropy_recovered
0.0,1.0,0,0,3.158053536459888,1.371525224439579,1.0,1.65656080317296e-05,0,0.0038010060379293775,0.9294618761152562,0.0309820625371752,1,0.675,1.309183724597329
0.0,1.0,0,1,3.0506702416576346,1.3248892520583702,1.0,1.458878696192667e-06,0,0.0038014185141620263,0.9294219033267326,0.030980730110891083,1,0.69,1.3091848710989544
0.0,1.0,0,2,3.394556252238274,1.4742370488572651,1.0,4.1864291820493935e-05,0,0.0038006508855869398,0.9293468085201928,0.03097822695067309,1,0.76,1.3091820178421392
0.0,1.0,0,3,3.0951394256335782,1.344201973273863,1.0,1.6666079918558715e-05,0,0.003801912451745451,0.9294491781745573,0.030981639272485238,1,0.7,1.3091868189930311
0.0,1.0,0,4,3.0888540502998665,1.3414722694497414,1.0,2.5883815409833404e-05,0,0.003801393901835381,0.9295383805425328,0.030984612684751087,1,0.655,1.309185751755832
0.0,1.0,0,5,3.387224338914768,1.4710528393590738,1.0,0.0003431137851341879,0,0.003820580343922124,0.9306801382208796,0.031022671274029315,1,0.64,1.3092638316992384
0.0,1.0,0,6,3.2141802810889066,1.3959007599191549,1.0,1.5059936623364163e-05,0,0.0038013536179104454,0.9294490780124287,0.030981635933747618,1,0.67,1.3091843160495944
0.0,1.0,0,7,3.2542356067198943,1.4132965668115307,1.0,0.0003573766733845537,0,0.0038021971470021156,0.9267157853111607,0.030890526177038687,1,0.715,1.3091631054922794
0.0,1.0,0,8,3.320391489366029,1.442027701590186,1.0,3.2469508646050593e-07,0,0.003801431751228778,0.9294228635677748,0.030980762118925823,1,0.655,1.3091848910024813
0.0,1.0,0,9,3.1234824491413913,1.3565111919837605,1.0,2.1174863942578144e-06,0,0.0038014584106955997,0.9294251456709923,0.030980838189033074,1,0.69,1.3091850055500167
0.0,1.0,0,10,3.119054291430562,1.3545880675249502,1.0,3.321931807358605e-05,0,0.003802249175437842,0.929444861961648,0.030981495398721595,1,0.735,1.3091879873908376
0.0,1.0,0,11,3.1700722028065487,1.3767448649137703,1.0,2.4531078947584516e-05,0,0.003802278123172253,0.9293592911951087,0.030978643039836953,1,0.685,1.309187342445392
0.0,1.0,0,12,3.2774282407834208,1.4233689998061216,1.0,1.51273626178352e-06,0,0.0038014351659714056,0.9294215524428884,0.03098071841476294,1,0.73,1.3091848782977653
0.0,1.0,0,13,3.1111043478685496,1.3511354509045257,1.0,9.854597204912466e-06,0,0.00380148450180727,0.9294366991625502,0.030981223305418335,1,0.725,1.3091854564145762
0.0,1.0,0,14,3.167556909047268,1.3756524867137492,1.0,2.5901176429623283e-05,0,0.003802234394496125,0.929474788988105,0.03098249296627016,1,0.75,1.3091882430757578
0.0,1.0,0,15,3.222934358437279,1.3997026074057075,1.0,5.605792333538002e-07,0,0.0038014399547492833,0.9294220169544176,0.03098073389848058,1,0.71,1.3091849001477378
0.0,1.0,0,16,3.1448950434271543,1.3658105635253002,1.0,3.893436188657549e-05,0,0.0038005654986440415,0.9293954737200516,0.030979849124001715,1,0.685,1.3091809853773602
0.0,1.0,0,17,3.298045829294056,1.4323231047264426,1.0,1.4170368789431942e-05,0,0.0038014866037974944,0.9294560676734731,0.0309818689224491,1,0.675,1.3091859453218402
