reader,content,observer,goal_correct,final_entropy,engaged_fraction,error_reduction,process_accuracy
human,human,0,1,6.167475841368214e-06,0.0,1.2839395656977026,0.5
human,human,1,1,0.00012958324928221795,0.0,1.0532952667613782,0.25
human,human,2,1,1.00599556612319e-06,0.08333333333333333,1.1948792173058647,0.9583333333333334
human,human,3,1,6.527614857437938e-06,0.0,1.4603991017618683,0.20833333333333334
human,human,4,1,3.7450000086705905e-07,0.0,1.4548911702156924,0.6666666666666666
human,human,5,1,1.0196802937393398e-05,0.0,1.2073700853307863,0.5833333333333334
human,human,6,1,5.519533745986203e-06,0.0,1.5085618172329527,0.4583333333333333
human,human,7,1,1.3647752968059571e-06,0.08333333333333333,1.2752319927972977,0.20833333333333334
human,human,8,1,8.828409015400475e-09,0.25,1.035592485466024,0.20833333333333334
human,human,9,1,4.320939729624316e-06,0.0,1.0079299095483045,0.08333333333333333
human,human,10,1,1.1344805715362983e-06,0.08333333333333333,1.3175419390193346,0.9583333333333334
human,human,11,1,7.752524955218234e-07,0.0,1.430109878901683,0.125
human,human,12,1,3.0793039868880405e-06,0.0,1.3062082217775852,0.7916666666666666
human,human,13,1,4.394225488170533e-09,0.16666666666666666,1.252206233880534,0.20833333333333334
human,human,14,1,2.140748122954724e-10,0.3333333333333333,0.9765535509193377,0.125
human,human,15,1,1.0925012226515017e-05,0.0,1.4642731433743856,0.25
human,human,16,1,1.2687550035583234e-07,0.0,1.359344558511798,0.4166666666666667
human,human,17,1,0.0002607611783435636,0.0,1.3814419821283697,0.7916666666666666
human,human,18,1,0.0006758674180714201,0.0,1.3496915358881547,0.08333333333333333
human,human,19,1,1.8906140848115507e-10,0.3333333333333333,1.374792804868965,0.041666666666666664
human,human,20,1,2.780292328072976e-12,0.5,1.6474629700522918,0.7916666666666666
human,human,21,1,1.1471227725920251e-07,0.0,1.4808770800482796,0.041666666666666664
human,human,22,1,2.3124337360340817e-10,0.5,1.648077510190719,0.0
human,human,23,1,5.706177962324608e-06,0.0,1.5960234388500572,0.5
human,human,24,1,0.01538185442743736,0.0,1.055515154457056,0.125
human,human,25,1,9.495056242311783e-11,0.5,1.5954623776432648,0.5
human,human,26,1,2.5930822618708035e-08,0.4166666666666667,1.2434008584003324,0.0
human,human,27,1,2.0861944274185786e-07,0.08333333333333333,1.3110632690895982,0.041666666666666664
human,human,28,1,8.033489998219128e-10,0.5,1.182029833677752,0.75
human,human,29,1,4.033660379672854e-09,0.3333333333333333,1.1800430924713827,0.041666666666666664
human,human,30,1,3.172346103419068e-05,0.0,1.600051588450621,0.5833333333333334
human,human,31,1,1.017740942268236e-05,0.08333333333333333,1.5371177361682726,0.16666666666666666
human,human,32,1,3.176679450404456e-06,0.0,1.2569180493014516,0.3333333333333333
human,human,33,1,1.4528530002067025e-07,0.0,1.6641495664063592,0.6666666666666666
human,human,34,1,2.195234454276217e-07,0.0,1.6663139191679186,0.5416666666666666
human,human,35,1,1.627871098033596e-07,0.08333333333333333,1.4281029247609147,0.041666666666666664
human,human,36,1,0.0036785941879800875,0.0,1.332466372397464,0.7083333333333334
human,human,37,1,5.029540262917408e-07,0.0,1.6130169097742804,0.041666666666666664
human,human,38,1,3.007535724692983e-07,0.0,1.2511319486485157,0.041666666666666664
human,human,39,1,1.1687742414695931e-07,0.0,0.9622052880424693,0.16666666666666666
human,human,40,1,1.4627859088006943e-07,0.0,1.6818536149587064,0.375
human,human,41,1,1.5778969938979763e-07,0.0,1.4279735661382404,0.0
human,human,42,1,1.255521779122737e-11,0.5,1.446685779950443,0.375
human,human,43,1,2.103920130881848e-07,0.0,1.6690957132037492,0.5
human,human,44,1,3.4290293404165017e-10,0.25,1.6810749118669226,0.4583333333333333
human,human,45,1,1.923230924146988e-07,0.25,1.3497221403281843,0.25
human,human,46,1,0.00013284445400943705,0.0,1.1991169542191276,0.25
human,human,47,1,5.752879255119867e-12,0.3333333333333333,1.3250130924205301,0.041666666666666664
human,human,48,1,0.000172951588948749,0.0,1.4299052752059758,0.375
human,human,49,1,6.111409163515673e-06,0.0,1.35828934318877,0.2916666666666667
human,machine,0,1,1.381430597910147,1.0,0.0,0.2916666666666667
human,machine,1,1,1.3672230670618832,0.0,-0.047049617900520646,0.20833333333333334
human,machine,2,1,0.2731807975146666,1.0,1.1382019077113974,0.9166666666666666
human,machine,3,0,1.3824738336256854,1.0,-2.220446049250313e-16,0.125
human,machine,4,0,1.383812587213046,1.0,4.440892098500626e-16,0.08333333333333333
human,machine,5,1,1.3793194130041393,1.0,-4.440892098500626e-16,0.16666666666666666
human,machine,6,0,1.3565555171047787,0.0,-2.220446049250313e-16,0.0
human,machine,7,0,1.3633877927913238,0.0,6.661338147750939e-16,0.3333333333333333
human,machine,8,1,1.3488604006325655,1.0,2.220446049250313e-16,0.20833333333333334
human,machine,9,1,1.350293534139895,1.0,-2.220446049250313e-16,0.3333333333333333
human,machine,10,1,1.3838546402097676,0.0,6.661338147750939e-16,0.0
human,machine,11,0,1.3799867508713348,1.0,2.220446049250313e-16,0.16666666666666666
human,machine,12,0,1.376441164077798,1.0,-2.220446049250313e-16,0.375
human,machine,13,1,1.3777748227322482,1.0,-2.220446049250313e-16,0.0
human,machine,14,1,1.3451275941503158,1.0,0.0,0.125
human,machine,15,0,1.3845676149891362,0.0,6.661338147750939e-16,0.25
human,machine,16,0,1.3698585661289762,0.0,-2.220446049250313e-16,0.0
human,machine,17,0,1.3629035442334319,0.0,2.220446049250313e-16,0.625
human,machine,18,0,1.3829422103844293,1.0,0.0,0.375
human,machine,19,0,1.3774288869033768,1.0,4.440892098500626e-16,0.0
human,machine,20,0,1.3742030619128907,1.0,-4.440892098500626e-16,0.5833333333333334
human,machine,21,1,0.35708627962884837,1.0,1.3995626870647193,0.5416666666666666
human,machine,22,0,1.3706554955328023,1.0,0.0,0.625
human,machine,23,0,1.3547191115994037,1.0,0.0,0.125
human,machine,24,1,1.357695132545002,0.0,0.0,0.0
human,machine,25,0,1.3721425657817625,0.0,-6.661338147750939e-16,0.16666666666666666
human,machine,26,1,0.28103177504420523,1.0,1.1847374068203398,0.6666666666666666
human,machine,27,0,1.3739704992534516,1.0,-4.440892098500626e-16,0.625
human,machine,28,1,1.366230728260398,1.0,0.0,0.5416666666666666
human,machine,29,1,1.373737738141067,1.0,-2.220446049250313e-16,0.0
human,machine,30,0,1.3386921625407666,1.0,-2.220446049250313e-16,0.041666666666666664
human,machine,31,0,0.3748298675937727,1.0,-2.2256924865658445,0.16666666666666666
human,machine,32,1,1.3812646743663197,0.0,-4.440892098500626e-16,0.041666666666666664
human,machine,33,0,0.7603703514994196,1.0,-3.2194098818928483,0.2916666666666667
human,machine,34,0,1.3282409342829955,1.0,-2.220446049250313e-16,0.25
human,machine,35,0,1.3859688480301446,1.0,-2.220446049250313e-16,0.041666666666666664
human,machine,36,0,0.3262646717145925,1.0,-2.38183995333356,0.125
human,machine,37,0,1.3768978316483274,1.0,0.0,0.08333333333333333
human,machine,38,0,1.3734739123389925,1.0,0.0,0.08333333333333333
human,machine,39,1,1.3433576547807577,1.0,3.3306690738754696e-16,0.041666666666666664
human,machine,40,0,1.3601166081662521,1.0,-2.220446049250313e-16,0.4166666666666667
human,machine,41,0,1.3691969726183992,1.0,0.0,0.0
human,machine,42,0,0.4282455936395164,1.0,-2.113464274974344,1.0
human,machine,43,0,1.3544153938661647,0.0,0.0,0.125
human,machine,44,0,1.3249541572719234,1.0,-2.220446049250313e-16,0.0
human,machine,45,0,0.03659212659963405,0.0,-5.810327745857732,0.625
human,machine,46,0,0.35184034889262344,1.0,-2.302801033131895,0.4166666666666667
human,machine,47,0,1.361515266026161,1.0,0.0,0.25
human,machine,48,0,1.3767548096069235,1.0,-4.440892098500626e-16,0.16666666666666666
human,machine,49,0,1.3754104787362689,1.0,0.0,0.20833333333333334
machine,human,0,0,0.7377065967159168,0.0,-1.6617355998960486,0.16666666666666666
machine,human,1,1,1.3588817946823886,0.0,-1.9544979605878865e-06,0.4166666666666667
machine,human,2,1,1.3712945243360968,0.0,-3.678623145875193e-06,0.9583333333333334
machine,human,3,0,0.4828608157672026,0.0,-1.9824599839662973,0.6666666666666666
machine,human,4,0,1.3838128121743964,0.0,8.12627381074904e-06,0.08333333333333333
machine,human,5,0,1.0275818707556292,0.0,-0.17324366204364217,0.08333333333333333
machine,human,6,0,0.7594326833314725,0.0,-0.697706871663335,0.3333333333333333
machine,human,7,0,0.845218447335785,0.0,-1.7351543107157217,0.08333333333333333
machine,human,8,0,0.7057311055914783,0.0,-2.3097990683343883,0.2916666666666667
machine,human,9,1,1.3502922338496757,0.0,6.751921031833419e-06,0.041666666666666664
machine,human,10,1,1.3754386295168262,0.0,0.15074725454875382,0.375
machine,human,11,0,0.2350560553335838,0.0,-2.9429224550779316,0.3333333333333333
machine,human,12,0,1.0674660420315423,0.0,-0.06671887804936172,0.75
machine,human,13,1,1.377775141965992,0.0,-3.486368804317408e-06,1.0
machine,human,14,1,1.3451283237881677,0.0,-3.1227869666805574e-06,0.0
machine,human,15,0,0.6889809260694795,0.0,-1.5101203590412065,0.5416666666666666
machine,human,16,0,0.7957679693199291,0.0,-3.0368336045944457,0.041666666666666664
machine,human,17,0,1.3629038046083637,0.0,-2.014025533458863e-06,0.25
machine,human,18,0,1.2458936686123139,0.0,-0.4320661709230331,0.08333333333333333
machine,human,19,0,1.3774289566716074,0.0,-3.713134442584476e-06,0.08333333333333333
machine,human,20,0,1.374203581623673,0.0,8.6287774196947e-06,0.8333333333333334
machine,human,21,0,0.5437126746123822,0.0,-1.5631164970386888,0.25
machine,human,22,0,1.370656256366627,0.0,8.68635787387717e-06,0.3333333333333333
machine,human,23,1,0.594365379600635,0.0,1.429526130441652,0.08333333333333333
machine,human,24,0,0.4636781703056931,0.0,-1.882023763209662,0.08333333333333333
machine,human,25,0,0.8789304349369051,0.0,-1.7569383996616732,0.25
machine,human,26,1,1.3808995133489421,0.0,7.209719961043248e-06,0.4166666666666667
machine,human,27,1,0.4943357076361816,0.0,1.1825523663527728,0.08333333333333333
machine,human,28,1,1.3708826033775274,0.0,-0.05430138012787178,0.0
machine,human,29,0,0.623271576427535,0.0,-1.783568654791475,0.375
machine,human,30,0,1.266733966712814,0.0,-0.3704646774148961,0.5833333333333334
machine,human,31,0,1.362850814720241,0.0,-0.043507680872125976,0.041666666666666664
machine,human,32,0,0.8971892477847635,0.0,-2.3957786544640447,0.7083333333333334
machine,human,33,0,0.5632761157435379,0.0,-2.4927596840513546,0.20833333333333334
machine,human,34,0,0.385229138983592,0.0,-2.9227987328671112,0.20833333333333334
machine,human,35,0,0.9129772489411521,0.0,-1.4518880561453462,0.0
machine,human,36,1,1.3843066784228917,0.0,-3.561817444319715e-06,0.25
machine,human,37,0,1.3768984514009142,0.0,8.544055357884162e-06,0.2916666666666667
machine,human,38,0,1.3734736197190416,0.0,7.586125954972545e-06,0.0
machine,human,39,1,0.33439675391002843,0.0,0.8880698237402875,0.7083333333333334
machine,human,40,0,0.9461108876736468,0.0,0.7967711165706115,0.20833333333333334
